SucursalId,NombreSucursal,Direccion,LocalidadId,ProvinciaId,CodigoPostal,EstadoSucursalId,Email,Telefono,FechaApertura,Latitud,Longitud,CreatedAt,UpdatedAt,IsDeleted
83,Sucursal SAN-0083,Calle 9577,27,3,4728,1,sucursal83@empresa.local,+54 838 153849,2025-11-02,-35.327255,-69.589759,2025-11-02,2026-05-21,0
84,Sucursal MEN-0084,Calle 2521,30,4,4968,1,sucursal84@empresa.local,+54 132 700383,2026-05-11,-23.657435,-70.80209,2026-05-11,2026-06-04,0
85,Sucursal BUE-0085,Calle 3440,1,1,7723,1,sucursal85@empresa.local,+54 613 912617,2024-06-04,-34.432702,-63.567891,2024-06-04,2025-07-31,0
86,Sucursal LA -0086,Calle 8598,95,20,4397,1,sucursal86@empresa.local,+54 674 440839,2025-12-23,-22.060068,-63.43258,2025-12-23,2026-01-27,0
87,Sucursal CÓR-0087,Calle 5708,16,2,9950,2,sucursal87@empresa.local,+54 462 808699,2025-04-15,-29.296327,-58.581509,2025-04-15,2026-01-12,0
88,Sucursal ENT-0088,Calle 4671,40,6,5890,1,sucursal88@empresa.local,+54 330 412071,2024-07-15,-29.322423,-58.901981,2024-07-15,2025-03-24,0
89,Sucursal ENT-0089,Calle 9283,39,6,5480,1,sucursal89@empresa.local,+54 394 227794,2025-05-06,-35.648742,-62.136182,2025-05-06,2025-10-31,0
90,Sucursal CAB-0090,Calle 4858,111,24,1689,1,sucursal90@empresa.local,+54 394 848831,2024-12-19,-51.471058,-54.519807,2024-12-19,2025-05-17,0
91,Sucursal MEN-0091,Calle 8924,33,4,5442,1,sucursal91@empresa.local,+54 675 829988,2024-08-07,-45.308113,-70.815468,2024-08-07,2025-03-01,0
92,Sucursal COR-0092,Calle 8800,57,10,4697,1,sucursal92@empresa.local,+54 753 344146,2024-02-21,-52.320285,-64.733973,2024-02-21,2026-01-06,0
93,Sucursal MIS-0093,Calle 184,49,8,3587,1,sucursal93@empresa.local,+54 516 784607,2026-02-28,-24.078973,-55.432008,2026-02-28,2026-03-17,0
94,Sucursal CÓR-0094,Calle 4776,20,2,1969,1,sucursal94@empresa.local,+54 887 193806,2024-10-21,-33.126441,-68.355596,2024-10-21,2025-09-14,0
95,Sucursal COR-0095,Calle 6946,56,10,3880,3,sucursal95@empresa.local,+54 137 976822,2024-02-08,-41.296174,-63.092322,2024-02-08,2024-08-05,0
96,Sucursal CAB-0096,Calle 251,113,24,5888,2,sucursal96@empresa.local,+54 681 732063,2024-10-23,-50.566378,-53.340122,2024-10-23,2024-11-30,1
97,Sucursal CAB-0097,Calle 8361,117,24,8668,1,sucursal97@empresa.local,+54 379 302177,2025-05-20,-28.117956,-66.386318,2025-05-20,2025-07-27,0
98,Sucursal CHA-0098,Calle 330,54,9,6523,1,sucursal98@empresa.local,+54 909 409355,2026-01-05,-35.831001,-57.854345,2026-01-05,2026-02-21,0
99,Sucursal BUE-0099,Calle 7107,7,1,9442,3,sucursal99@empresa.local,+54 435 190951,2025-02-19,-41.173336,-71.092298,2025-02-19,2026-04-18,0
100,Sucursal CAB-0100,Calle 4372,116,24,7284,1,sucursal100@empresa.local,+54 341 568436,2024-09-11,-29.879787,-53.919304,2024-09-11,2024-09-17,0
101,Sucursal CÓR-0101,Calle 5990,13,2,4871,1,sucursal101@empresa.local,+54 163 800224,2024-01-12,-50.216805,-66.863873,2024-01-12,2024-10-05,0
102,Sucursal CÓR-0102,Calle 5195,17,2,2923,1,sucursal102@empresa.local,+54 754 409369,2026-06-28,-42.238595,-68.583015,2026-06-28,2026-06-30,0
103,Sucursal CAB-0103,Calle 6221,115,24,7813,1,sucursal103@empresa.local,+54 818 675914,2025-04-10,-24.7905,-57.85299,2025-04-10,2026-04-27,0
104,Sucursal FOR-0104,Calle 9861,79,16,2341,3,sucursal104@empresa.local,+54 638 568449,2026-02-19,-37.09846,-65.764303,2026-02-19,2026-04-23,0
105,Sucursal CAB-0105,Calle 9483,112,24,9792,1,sucursal105@empresa.local,+54 253 272529,2026-04-28,-43.500236,-62.593169,2026-04-28,2026-05-23,0
106,Sucursal BUE-0106,Calle 1589,5,1,9361,1,sucursal106@empresa.local,+54 556 947975,2025-08-20,-52.219654,-70.361113,2025-08-20,2026-04-27,0
107,Sucursal CÓR-0107,Calle 5149,18,2,1356,1,sucursal107@empresa.local,+54 505 366817,2025-07-26,-27.873497,-58.08391,2025-07-26,2026-03-19,0
108,Sucursal SAN-0108,Calle 8966,26,3,1987,1,sucursal108@empresa.local,+54 170 595002,2024-12-18,-52.984484,-64.822661,2024-12-18,2025-02-21,0
109,Sucursal JUJ-0109,Calle 6987,67,13,7135,1,sucursal109@empresa.local,+54 491 570325,2026-01-16,-26.172151,-54.864654,2026-01-16,2026-06-30,0
110,Sucursal CÓR-0110,Calle 8935,16,2,3178,1,sucursal110@empresa.local,+54 769 464663,2025-11-08,-50.203739,-53.143064,2025-11-08,2026-06-19,0
111,Sucursal CÓR-0111,Calle 472,17,2,5888,1,sucursal111@empresa.local,+54 574 806215,2024-08-16,-30.988993,-64.517439,2024-08-16,2024-08-19,0
112,Sucursal CÓR-0112,Calle 2641,16,2,5516,1,sucursal112@empresa.local,+54 293 860242,2025-04-16,-29.504322,-72.355654,2025-04-16,2025-10-10,0
113,Sucursal MEN-0113,Calle 4043,33,4,4376,1,sucursal113@empresa.local,+54 168 205797,2026-06-23,-34.993787,-64.071179,2026-06-23,2026-06-23,0
114,Sucursal MEN-0114,Calle 6690,34,4,8191,3,sucursal114@empresa.local,+54 339 665979,2024-09-07,-47.047385,-55.725395,2024-09-07,2024-10-22,0
115,Sucursal BUE-0115,Calle 9538,3,1,6224,1,sucursal115@empresa.local,+54 691 726962,2024-10-23,-29.278777,-56.63235,2024-10-23,2025-06-19,0
116,Sucursal BUE-0116,Calle 3721,10,1,7775,3,sucursal116@empresa.local,+54 407 388519,2025-11-07,-52.049356,-54.029595,2025-11-07,2026-03-20,0
117,Sucursal SAN-0117,Calle 9207,106,22,9120,2,sucursal117@empresa.local,+54 148 461145,2025-10-03,-23.869235,-59.57315,2025-10-03,2026-05-09,0
118,Sucursal CÓR-0118,Calle 6267,13,2,4012,1,sucursal118@empresa.local,+54 872 664058,2024-06-01,-38.847398,-56.013181,2024-06-01,2025-04-04,0
119,Sucursal CÓR-0119,Calle 1044,13,2,7761,1,sucursal119@empresa.local,+54 526 684357,2026-04-05,-37.040262,-65.231619,2026-04-05,2026-06-03,0
120,Sucursal CÓR-0120,Calle 6179,11,2,2514,1,sucursal120@empresa.local,+54 648 859782,2024-03-21,-27.458999,-71.969267,2024-03-21,2025-06-24,0
121,Sucursal CÓR-0121,Calle 3182,16,2,4555,1,sucursal121@empresa.local,+54 590 319036,2024-02-10,-26.176837,-66.340714,2024-02-10,2024-04-24,0
122,Sucursal CAB-0122,Calle 7946,115,24,4974,1,sucursal122@empresa.local,+54 812 733760,2024-07-13,-31.479405,-65.067359,2024-07-13,2024-11-10,0
123,Sucursal BUE-0123,Calle 7739,10,1,9743,1,sucursal123@empresa.local,+54 764 476710,2024-10-16,-44.130487,-65.807108,2024-10-16,2025-11-09,0
124,Sucursal TIE-0124,Calle 5346,107,23,4328,1,sucursal124@empresa.local,+54 479 428122,2026-04-02,-40.754235,-61.749505,2026-04-02,2026-06-01,0
125,Sucursal BUE-0125,Calle 9668,9,1,7841,1,sucursal125@empresa.local,+54 402 259814,2024-09-24,-47.721863,-68.399627,2024-09-24,2026-04-13,0
126,Sucursal SAN-0126,Calle 5630,26,3,5216,1,sucursal126@empresa.local,+54 881 961501,2025-07-17,-38.364125,-58.528841,2025-07-17,2026-06-17,0
127,Sucursal COR-0127,Calle 2873,57,10,3293,1,sucursal127@empresa.local,+54 837 673095,2026-01-20,-38.373878,-54.662012,2026-01-20,2026-04-20,0
128,Sucursal SAN-0128,Calle 654,24,3,2217,1,sucursal128@empresa.local,+54 937 800674,2024-03-01,-52.447539,-72.872324,2024-03-01,2025-08-19,0
129,Sucursal BUE-0129,Calle 2574,6,1,1149,1,sucursal129@empresa.local,+54 323 630299,2024-03-10,-39.407691,-71.790998,2024-03-10,2026-03-04,0
130,Sucursal MEN-0130,Calle 8093,31,4,1257,2,sucursal130@empresa.local,+54 106 658065,2025-05-09,-36.347406,-72.762981,2025-05-09,2026-04-11,0
131,Sucursal CÓR-0131,Calle 7154,11,2,3937,2,sucursal131@empresa.local,+54 209 200992,2024-01-18,-37.219667,-68.180623,2024-01-18,2025-06-15,0
132,Sucursal BUE-0132,Calle 1394,10,1,7112,1,sucursal132@empresa.local,+54 515 581294,2026-03-25,-35.91993,-53.195339,2026-03-25,2026-05-14,0
133,Sucursal BUE-0133,Calle 619,9,1,2531,1,sucursal133@empresa.local,+54 515 497687,2026-05-18,-41.930574,-63.479898,2026-05-18,2026-05-23,0
134,Sucursal MEN-0134,Calle 7209,31,4,6427,1,sucursal134@empresa.local,+54 679 999636,2024-03-25,-22.837128,-55.104176,2024-03-25,2025-08-18,0
135,Sucursal CAB-0135,Calle 9386,112,24,8790,1,sucursal135@empresa.local,+54 377 148823,2026-06-07,-24.426903,-59.311425,2026-06-07,2026-06-29,0
136,Sucursal CÓR-0136,Calle 3038,12,2,6152,1,sucursal136@empresa.local,+54 116 317221,2025-11-04,-35.214845,-57.954911,2025-11-04,2025-11-12,0
137,Sucursal MIS-0137,Calle 2761,47,8,4939,1,sucursal137@empresa.local,+54 680 975194,2024-03-19,-26.817842,-59.459301,2024-03-19,2025-01-19,0
138,Sucursal SAN-0138,Calle 1384,24,3,9204,1,sucursal138@empresa.local,+54 863 462659,2026-01-27,-52.281714,-64.258235,2026-01-27,2026-03-03,0
139,Sucursal CAT-0139,Calle 9858,92,19,7499,1,sucursal139@empresa.local,+54 892 442230,2026-02-26,-53.051979,-67.533459,2026-02-26,2026-05-15,0
140,Sucursal CAB-0140,Calle 7175,117,24,4043,1,sucursal140@empresa.local,+54 796 714334,2024-12-30,-32.858499,-71.286118,2024-12-30,2026-01-18,0
141,Sucursal MEN-0141,Calle 1444,29,4,5390,3,sucursal141@empresa.local,+54 257 498458,2025-12-31,-31.226331,-60.321982,2025-12-31,2026-01-18,0
142,Sucursal COR-0142,Calle 185,57,10,6050,1,sucursal142@empresa.local,+54 555 477400,2024-04-19,-29.636912,-70.955372,2024-04-19,2024-07-21,0
143,Sucursal BUE-0143,Calle 8495,4,1,7685,1,sucursal143@empresa.local,+54 205 127537,2025-07-24,-51.132197,-61.915604,2025-07-24,2026-05-04,0
144,Sucursal SAN-0144,Calle 302,27,3,5781,3,sucursal144@empresa.local,+54 523 506637,2026-06-03,-29.066589,-58.503123,2026-06-03,2026-06-15,0
145,Sucursal SAN-0145,Calle 8637,25,3,3778,2,sucursal145@empresa.local,+54 801 499226,2024-09-05,-48.575944,-67.621621,2024-09-05,2026-04-13,1
146,Sucursal BUE-0146,Calle 5011,6,1,8933,1,sucursal146@empresa.local,+54 901 180657,2024-10-09,-42.444003,-54.115554,2024-10-09,2025-12-14,0
147,Sucursal MIS-0147,Calle 7601,50,8,2752,1,sucursal147@empresa.local,+54 238 419457,2025-09-23,-53.783444,-65.08616,2025-09-23,2026-01-01,0
148,Sucursal CAT-0148,Calle 7312,93,19,6484,1,sucursal148@empresa.local,+54 540 955088,2026-06-01,-27.646872,-59.979263,2026-06-01,2026-06-11,0
149,Sucursal SAN-0149,Calle 7948,27,3,6147,1,sucursal149@empresa.local,+54 281 517584,2025-09-09,-23.000793,-67.171037,2025-09-09,2025-12-20,0
150,Sucursal ENT-0150,Calle 5439,41,6,7161,1,sucursal150@empresa.local,+54 387 956156,2025-08-12,-28.852271,-65.699689,2025-08-12,2025-12-14,0
151,Sucursal CAB-0151,Calle 9112,113,24,1440,1,sucursal151@empresa.local,+54 844 584045,2025-07-12,-23.824803,-68.807032,2025-07-12,2025-10-12,0
152,Sucursal NEU-0152,Calle 6803,77,15,9180,3,sucursal152@empresa.local,+54 242 764100,2024-03-11,-44.309355,-67.946366,2024-03-11,2026-06-27,0
153,Sucursal BUE-0153,Calle 7457,7,1,8851,1,sucursal153@empresa.local,+54 696 520274,2025-01-21,-36.900243,-54.530085,2025-01-21,2025-04-06,0
154,Sucursal SAN-0154,Calle 5990,103,22,9796,1,sucursal154@empresa.local,+54 708 769180,2024-02-07,-24.73916,-70.812611,2024-02-07,2026-04-26,0
155,Sucursal BUE-0155,Calle 825,10,1,7547,1,sucursal155@empresa.local,+54 870 447704,2024-06-19,-23.097063,-64.390889,2024-06-19,2026-04-12,0
156,Sucursal BUE-0156,Calle 8599,1,1,4621,1,sucursal156@empresa.local,+54 556 492292,2025-06-06,-41.483707,-57.553155,2025-06-06,2026-06-23,0
157,Sucursal SAN-0157,Calle 8009,27,3,2712,1,sucursal157@empresa.local,+54 402 536181,2024-12-19,-24.542479,-71.282904,2024-12-19,2025-01-13,0
158,Sucursal SAN-0158,Calle 5720,89,18,8460,1,sucursal158@empresa.local,+54 903 316916,2024-12-22,-37.324325,-66.033994,2024-12-22,2025-11-06,0
159,Sucursal BUE-0159,Calle 1200,4,1,5919,1,sucursal159@empresa.local,+54 145 949541,2025-04-08,-31.255072,-72.548298,2025-04-08,2025-09-18,0
160,Sucursal CÓR-0160,Calle 4096,14,2,9454,1,sucursal160@empresa.local,+54 278 678719,2026-03-30,-48.875657,-61.803021,2026-03-30,2026-04-20,0
161,Sucursal CAB-0161,Calle 3122,115,24,4053,1,sucursal161@empresa.local,+54 755 789237,2025-02-18,-40.171698,-72.416155,2025-02-18,2026-01-06,0
162,Sucursal MEN-0162,Calle 6470,29,4,1072,1,sucursal162@empresa.local,+54 821 325230,2025-08-29,-47.414897,-57.95349,2025-08-29,2026-04-05,0
